DATE,CPALTT01USM661S
2003-08-01,84.6114865252195
2003-09-01,84.8866458309926
2003-10-01,84.7949260624015
2003-11-01,84.840785946697
2003-12-01,85.0700853681746
2004-01-01,85.4369644425387
2004-02-01,85.6204039797207
2004-03-01,85.8038435169028
2004-04-01,85.9414231697893
2004-05-01,86.3083022441534
2004-06-01,86.629321434222
2004-07-01,86.721041202813
2004-08-01,86.7669010871085
2004-09-01,87.0420603928816
2004-10-01,87.5006592358367
2004-11-01,87.9133981944963
2004-12-01,87.9133981944963
2005-01-01,87.8675383102008
2005-02-01,88.2344173845649
2005-03-01,88.5554365746335
2005-04-01,88.8305958804066
2005-05-01,88.7847359961111
2005-06-01,88.8305958804066
2005-07-01,89.3809144919527
2005-08-01,89.9312331034989
2005-09-01,91.1694499794777
2005-10-01,91.3070296323642
2005-11-01,90.8484307894091
2005-12-01,90.8484307894091
2006-01-01,91.3987494009552
2006-02-01,91.4446092852508
2006-03-01,91.5821889381373
2006-04-01,92.0407877810924
2006-05-01,92.3159470868655
2006-06-01,92.545246508343
2006-07-01,93.0497052355936
2006-08-01,93.4624441942533
2006-09-01,93.0038453512982
2006-10-01,92.5911063926386
2006-11-01,92.6369662769341
2006-12-01,93.1414250041847
2007-01-01,93.2959728142606
2007-02-01,93.6578073013522
2007-03-01,94.1448392725705
2007-04-01,94.4273361598308
2007-05-01,94.8176037751856
2007-06-01,95.0372726209611
2007-07-01,95.2064955940116
2007-08-01,95.2358459199607
2007-09-01,95.6394129017612
2007-10-01,95.9342919577814
2007-11-01,96.6882284555996
2007-12-01,96.9684323486452
2008-01-01,97.3027509051594
2008-02-01,97.5380121115954
2008-03-01,97.8870058310843
2008-04-01,98.1135536595041
2008-05-01,98.6941397946853
2008-06-01,99.7282801855491
2008-07-01,100.440484188658
2008-08-01,100.290980965855
2008-09-01,100.376738949488
2008-10-01,99.5136559270461
2008-11-01,97.7517191724125
2008-12-01,96.9468782030263
2009-01-01,97.1922285840073
2009-02-01,97.5462668907686
2009-03-01,97.449961133748
2009-04-01,97.5481012861404
2009-05-01,97.6916427239854
2009-06-01,98.50244547833
2009-07-01,98.4730951523809
2009-08-01,98.8028277204656
2009-09-01,98.993604839135
2009-10-01,99.2907768893699
2009-11-01,99.6232610505124
2009-12-01,99.6750827197663
2010-01-01,99.7397451566229
2010-02-01,99.6448151961312
2010-03-01,99.677834312824
2010-04-01,99.7007642549718
2010-05-01,99.6489425857178
2010-06-01,99.6072100910089
2010-07-01,99.7934012212487
2010-08-01,99.9392356533084
2010-09-01,100.100662446029
2010-10-01,100.449197566675
2010-11-01,100.703719924515
2010-12-01,101.108204104001
2011-01-01,101.436102276714
2011-02-01,101.762166054055
2011-03-01,102.288637525767
2011-04-01,102.768790514342
2011-05-01,103.095771489369
2011-06-01,103.095771489369
2011-07-01,103.365886207869
2011-08-01,103.69194998521
2011-09-01,103.917122017101
2011-10-01,103.987287640073
2011-11-01,104.179440555271
2011-12-01,104.204204892791
2012-01-01,104.48807757658
2012-02-01,104.711415213099
2012-03-01,104.930625460032
2012-04-01,105.104893020355
2012-05-01,104.887517168794
2012-06-01,104.800841987476
2012-07-01,104.831109511111
2012-08-01,105.440128774555
2012-09-01,105.943211705277
2012-10-01,106.228918784438
2012-11-01,106.050523834528
2012-12-01,106.037683066926
2013-01-01,106.247721336999
2013-02-01,106.824638681437
2013-03-01,106.524256439301
2013-04-01,106.301836000468
2013-05-01,106.345861489391
2013-06-01,106.599008050703
2013-07-01,106.807670524247
2013-08-01,107.06265148093
2013-09-01,107.10300817911
2013-10-01,107.16033303448
2013-11-01,107.357989135793
2013-12-01,107.641861819583
2014-01-01,107.929861892958
2014-02-01,108.010116690476
2014-03-01,108.209148588318
2014-04-01,108.441658201696
2014-05-01,108.62693213425
2014-06-01,108.774142362839
2014-07-01,108.910346219196
2014-08-01,108.889250672421
2014-09-01,108.895212457379
2014-10-01,108.892919463164
2014-11-01,108.707186931767
2014-12-01,108.353148625006
2015-01-01,107.695517884208
2015-02-01,107.896384177423
2015-03-01,108.209148588318
2015-04-01,108.304995746496
2015-05-01,108.665913035901
2015-06-01,108.97133986531
2015-07-01,109.143314431418
2015-08-01,109.141480036046
2015-09-01,108.902091440023
2015-10-01,109.038295296381
2015-11-01,109.179543740011
2015-12-01,109.067187023487
2016-01-01,109.141938634889
2016-02-01,108.931900364815
2016-03-01,109.156613797863
2016-04-01,109.53312344793
2016-05-01,109.806448358331
2016-06-01,110.097658623607
2016-07-01,110.09032104212
2016-08-01,110.32466505087
2016-09-01,110.530117332514
2016-10-01,110.828206580435
2016-11-01,111.018066501418
2016-12-01,111.340461488016
2017-01-01,111.910958448652
2017-02-01,111.94489476303
2017-03-01,111.768334208493
2017-04-01,111.938015780386
2017-05-01,111.857302384026
2017-06-01,111.912792844024
2017-07-01,112.006347007986
2017-08-01,112.476869420858
2017-09-01,112.995086113398
2017-10-01,113.082678492402
2017-11-01,113.462398334369
2017-12-01,113.691239157004
2018-01-01,114.303468612349
